NodeId nbSent nbReceived
0 1 0
1 70 2
2 1 2
3 5 4
4 8 7
5 62 3
6 9 8
7 14 11
8 1 2
9 39 16
10 4 5
11 5 6
12 5 6
13 15 8
14 1 2
15 6 3
17 1 2
16 5 5
19 3 3
18 5 6
21 4 3
20 1 2
23 1 2
22 1 2
25 2 3
24 1 2
27 78 36
26 1 2
29 1 2
28 1 2
31 3 4
8831 0 1
30 2 2
34 1 2
35 3 4
32 2 3
33 1 2
38 1 2
39 18 9
36 1 2
37 1 2
42 4 4
43 1 2
40 1 2
41 3 4
46 112 58
8782 0 1
47 1 2
44 10 11
45 25 22
51 7 8
50 11 12
49 10 10
48 1 2
55 16 8
54 102 51
53 111 30
52 3 4
59 11 11
58 2 3
8794 0 1
57 1 2
56 309 121
63 1 2
62 12 12
61 1 2
60 12 13
68 1 2
69 6 7
70 2 2
71 1 1
64 1 2
65 4 4
66 1 2
67 1 2
76 815 309
77 4 5
78 339 216
79 119 60
72 377 40
73 127 65
74 293 163
75 232 134
85 32 28
84 48 42
87 44 42
86 125 99
81 120 80
80 271 108
83 201 163
82 212 98
93 455 293
92 69 54
95 597 169
94 8 9
89 247 148
8761 0 1
88 284 162
91 172 95
90 366 156
102 0 1
103 0 1
100 4 5
101 0 1
98 2 3
99 22 20
96 16 17
97 44 44
110 0 1
111 0 1
108 0 1
109 0 1
106 0 1
107 0 1
104 0 1
105 0 1
119 0 1
118 0 1
117 0 1
116 0 1
115 0 1
114 0 1
113 0 1
112 0 1
127 0 1
126 0 1
125 0 1
124 0 1
123 0 1
122 0 1
121 0 1
120 0 1
137 0 1
136 0 1
139 0 1
138 0 1
141 0 1
8941 0 1
140 0 1
143 0 1
142 0 1
129 0 1
128 0 1
131 0 1
130 0 1
133 0 1
132 0 1
135 0 1
134 0 1
152 0 1
153 0 1
154 0 1
155 0 1
156 0 1
157 0 1
158 0 1
159 0 1
144 0 1
145 0 1
146 0 1
147 0 1
148 0 1
149 0 1
150 0 1
151 0 1
171 0 1
170 0 1
169 0 1
168 0 1
8904 0 1
175 0 1
8911 0 1
174 0 1
173 0 1
172 0 1
163 0 1
162 0 1
161 0 1
160 0 1
8896 0 1
167 0 1
166 0 1
165 0 1
164 0 1
186 0 1
187 0 1
184 0 1
185 0 1
190 0 1
191 0 1
188 0 1
189 0 1
178 0 1
179 0 1
176 0 1
8912 0 1
177 0 1
182 0 1
183 0 1
180 0 1
181 0 1
205 0 1
204 0 1
207 0 1
206 0 1
8878 0 1
201 0 1
200 0 1
203 0 1
202 0 1
197 0 1
196 0 1
199 0 1
198 0 1
193 0 1
192 0 1
8864 0 1
195 0 1
194 0 1
220 0 1
221 0 1
222 0 1
223 0 1
216 0 1
217 0 1
218 0 1
219 0 1
212 0 1
213 0 1
214 0 1
215 0 1
208 0 1
209 0 1
210 0 1
8882 0 1
211 0 1
8883 0 1
239 0 1
8846 0 1
238 0 1
237 0 1
236 0 1
235 0 1
234 0 1
233 0 1
232 0 1
8839 0 1
231 0 1
230 0 1
229 0 1
228 0 1
227 0 1
226 0 1
225 0 1
224 0 1
254 0 1
255 0 1
252 0 1
253 0 1
250 0 1
251 0 1
248 0 1
249 0 1
246 0 1
247 0 1
244 0 1
245 0 1
242 0 1
8850 0 1
243 0 1
8851 0 1
240 0 1
241 0 1
275 0 1
274 0 1
273 0 1
272 0 1
279 0 1
9079 0 1
